trace_id,question_id,model,correct,predicted_answer,gold_answer,tokens_in,tokens_out,latency_s,has_code,cost_usd
baseline_gpt41_n25_20260609_0,0,gpt-4.1,True,\dfrac{761}{2},380.5,1878,219,3.358,True,0.005508000000000001
baseline_gpt41_n25_20260609_1,1,gpt-4.1,True,100,100,1750,134,2.923,True,0.004572
baseline_gpt41_n25_20260609_2,2,gpt-4.1,True,90,90,1729,133,2.579,True,0.004522
baseline_gpt41_n25_20260609_3,3,gpt-4.1,False,2x + 135,None,1923,276,4.481,True,0.006054
baseline_gpt41_n25_20260609_4,4,gpt-4.1,True,350,350,1825,144,2.327,True,0.004802
baseline_gpt41_n25_20260609_5,5,gpt-4.1,True,55,55,1910,236,3.805,True,0.005708000000000001
baseline_gpt41_n25_20260609_6,6,gpt-4.1,True,70,70,2995,263,3.541,True,0.008094
baseline_gpt41_n25_20260609_7,7,gpt-4.1,True,448,448,1825,176,2.464,True,0.005058
baseline_gpt41_n25_20260609_8,8,gpt-4.1,False,10n + 70,None,1807,236,2.922,True,0.005502
baseline_gpt41_n25_20260609_9,9,gpt-4.1,True,432,432,1798,148,2.795,True,0.0047799999999999995
baseline_gpt41_n25_20260609_10,10,gpt-4.1,True,50,50,1878,226,3.02,True,0.005564
baseline_gpt41_n25_20260609_11,11,gpt-4.1,False,\frac{225}{4},55,1927,457,4.481,True,0.007509999999999999
baseline_gpt41_n25_20260609_12,12,gpt-4.1,True,20,20,1917,258,3.633,True,0.0058980000000000005
baseline_gpt41_n25_20260609_13,13,gpt-4.1,True,\frac{336}{5},67.2,1827,247,3.346,True,0.0056300000000000005
baseline_gpt41_n25_20260609_14,14,gpt-4.1,True,130,130,1746,150,23.518,True,0.004692
baseline_gpt41_n25_20260609_15,15,gpt-4.1,True,335,335,1871,159,2.718,True,0.005014000000000001
baseline_gpt41_n25_20260609_16,16,gpt-4.1,True,335,335,1843,180,3.159,True,0.005126
baseline_gpt41_n25_20260609_17,17,gpt-4.1,True,50,50,1867,196,2.907,True,0.005301999999999999
baseline_gpt41_n25_20260609_18,18,gpt-4.1,True,50,50,1837,188,3.062,True,0.005178
baseline_gpt41_n25_20260609_19,19,gpt-4.1,False,x,None,1912,249,3.466,True,0.005816
baseline_gpt41_n25_20260609_20,20,gpt-4.1,True,102,102,1782,178,2.594,True,0.004987999999999999
baseline_gpt41_n25_20260609_21,21,gpt-4.1,True,90,90,1804,161,3.388,True,0.004896
baseline_gpt41_n25_20260609_22,22,gpt-4.1,True,100,100,1861,191,2.5,True,0.00525
baseline_gpt41_n25_20260609_23,23,gpt-4.1,True,100,100,1775,171,3.429,True,0.004918
baseline_gpt41_n25_20260609_24,24,gpt-4.1,True,50,50,1885,231,3.898,True,0.005618000000000001
